Tag ou Atributo;Nome Completo
RmalTelAutdLmnrPct;RamalAutorizadoLiminarParticipante
EmaiAutdLmnrPct;EmailAutorizadoLiminarParticipante
Prmz;Pametrizacao
RcbtRlcAutzComplexType;RecebimentoRelacaoAutorizados
DdSmnRcbtRlcAutz;DiaSemanaRecebimentoRelacaoAutorizados
RtnCta;RetornoContestacao
CnpjIf;CnpjFonte
CnpjGbd;CnpjGestorBD
NrRms;NumeroRemessa
SeqlRms;SequencialRemessa
DtRms;Data
CdOcr;CodigoOcorrencia
Cta;Contestacao
NrUncoCta;NumeroUnicoContestacao
TipCta;Tipo
TsAclt;DataHoraAcolhimento
CdOcrCta;CodigoOcorrenciaContestacao
Cli;Cliente
TipCli;Tipo
IdfcCli;Identificacao
Opr;Operacao
NrUnco;NumeroUnico
PrfAg;PrefixoAgencia
NrCtr;NumeroContrato
ObsCta;Justificativa
EnvoCta;EnvioContestacao
CnpjGbd;CnpjGestorBD
CnpjIf;CnpjFonte
NrRms;NumeroRemessa
SeqlRms;SequencialRemessa
DtRms;Data
Cta;Contestacao
NrUncoCta;NumeroUnicoContestacao
TipCta;Tipo
TsAclt;DataHoraAcolhimento
JstCta;Justificativa
Cli;Cliente
TipCli;Tipo
IdfcCli;Identificacao
Opr;Operacao
NrUnco;NumeroUnico
PrfAg;PrefixoAgencia
NrCtr;NumeroContrato
CnpjCtrc;CnpjContratacao
RtnHstCrd;RetornoHistoricoCredito
CnpjGbd;CnpjGestorBD
CnpjIf;CnpjFonte
NrRms;NumeroRemessa
SeqlRms;SequencialRemessa
CmdoRms;ComandoRemessa
DtRms;DataRemessa
CdOcr;CodigoOcorrencia
AvsRms;AvisoRemessa
Avs;Aviso
CdAvsRms;CodigoAvisoRemessa
OcrCli;OcorrenciaCliente
Cli;Cliente
TipCli;Tipo
IdfcCli;Identificacao
CdOcrCli;CodigoOcorrenciaCliente
CdAvsCli;CodigoAvisoCliente
Opr;Operacao
NrUnco;NumeroUnico
PrfAg;PrefixoAgencia
NrCtr;NumeroContrato
EnvoHstCrd;EnvioHistoricoCredito
CnpjIf;CnpjFonte
CnpjGbd;CnpjGestorBD
CmdoRms;ComandoRemessa
NrRms;NumeroRemessa
SeqlRms;SequencialRemessa
DtRms;DataRemessa
DtRefBaseItno;DataReferenciaBaseInterna
NrRmsRlc;NumeroRemessaRelacao
FmtRms;FormatoRemessa
Cli;Cliente
TipCli;TipoCliente
IdfcCli;Identificacao
NmCli;Nome
NtzRlc;NaturezaRelacao
CdOcr;CodigoOcorrencia
CmdoCli;ComandoCliente
Opr;Operacao
NrUnco;NumeroUnico
PrfAg;PrefixoAgencia
NrCtr;NumeroContrato
DtCtrc;DataContratacao
CdMdld;Modalidade
DtAprc;DataApuracao
CnpjCtrc;CnpjContratacao
CmdoOpr;ComandoOperação
IdfcCliCtrt;IdentificacaoClienteContratante
TipRst;TipoRestricao
DetOpr;DetalheOperacao
InPreFix;IndicadorPreFixado
DtVnctUltPcl;DataVencimentoUltimaParcela
VlCtrdFut;ValorContratadoFuturo
QtPcl;QuantidadeParcelas
NrPlstCrt;NúmeroPlásticoCartão
SdoDvdr;SaldoDevedor
DtVnctOpr;DataVencimento
NrGr;NumeroGrupo
CdCt;CodigoCota
SeqCt;SequenciaCota
SitCt;SituacaoCota
VlObgc;ValorContratadoObrigacao
DtVnctUltPclCsr;DataVencimentoUltimaParcela
QtPclCtCsr;QuantidadeParcelasCota
SdoDvdrCtCsr;SaldoDevedorCota
DtContCtCsr;DataContemplacaoCota
PclAnt;ParcelaAnterior
DtVnctPclAnt;DataVencimento
PercPclAnt;PeriodicidadeParcelaAnterior
VlPclAnt;Valor
CmdoPclAnt;ComandoParcelaAnterior
PgtoPclAnt;PagamentoParcelaAnterior
DtPgtoPclAnt;DataPagamento
VlPgtoPclAnt;ValorPagamento
PgtoAvls;PagamentoAvulso
DtPgtoAvls;DataPagamento
VlPgtoAvls;ValorPagamento
TipPgtoAvls;TipoPagamento
CmdoPgtoAvls;ComandoPagamentoAvulso
PclFut;ParcelasFuturas
DtVnctPrxPcl;DataVencimentoProximaParcela
PercPclFut;PeriodicidadeParcelasFuturas
VlPrxPcl;ValorProximaParcela
QtPclVncr;QuantidadeParcelasAVencer
QtPclPgr;QuantidadeParcelasAPagar
FatFchdAnt;FaturaFechadaAnterior
DtVnctFatFchdAnt;DataVencimento
VlTtlPgrFatFchdAnt;ValorTotalAPagar
VlMinPgrFatFchdAnt;ValorMinimoAPagar
CmdoFatFchdAnt;ComandoFaturaFechadaAnterior
PgtoFatFchdAnt;PagamentoFaturaFechadaAnterior
DtPgtoFatFchdAnt;DataPagamento
VlPgtoFatFchdAnt;ValorPagamento
FatFchdFut;FaturaFechadaFutura
DtVnctFatFchdFut;DataVencimento
VlTtlPgrFatFchdFut;ValorTotalAPagar
VlMinPgrFatFchdFut;ValorMinimoAPagar
CmdoFatFchFut;ComandoFaturaFechadaFutura
FchtAnt;FechamentoAnterior
DtFchtAnt;DataFechamentoAnterior
SdoUtlzFchtAnt;SaldoUtilizado
CmdoFchtAnt;ComandoFechamentoAnterior
FchtAtu;FechamentoAtual
DtFchtAtu;Data
SdoUtlzFchtAtu;SaldoUtilizado
CmdoFchtAtu;ComandoFechamentoAtual
PclAntCsr;ParcelaAnteriorConsorcio
DtVnctPclAntCsr;DataVencimento
PercPclAntCsr;PeriodicidadeParcelaAnterior
VlPclAntCsr;Valor
CmdoPclAntCsr;ComandoParcelaAnteriorConsorcio
PgtoPclAntCsr;PagamentoParcelaAnteriorConsorcio
DtPgtoPclAntCsr;DataPagamento
VlPgtoPclAntCsr;ValorPagamento
PgtoAvlsCsr;PagamentoAvulsoConsorcio
DtPgtoAvlsCsr;DataPagamento
VlPgtoAvlsCsr;ValorPagamento
TipPgtoAvlsCsr;TipoPagamento
CmdoPgtoAvlsCsr;ComandoPagamentoAvulsoConsorcio
PclFutCsr;ParcelasFuturasConsorcio
DtVnctPrxPclCsr;DataVencimentoProximaParcela
PercPclFutCsr;PeriodicidadeParcelasFuturasConsorcio
VlPrxPclCsr;ValorProximaParcela
QtPclVncrCsr;QuantidadeParcelasAVencer
QtPclPgrCtCsr;QuantidadeParcelasAPagarCota
